,addy,token,hold,price,holder_count
17,BdBwcFK1Ax1RhuhCqL5WYcBdTfMgF376iwWUEX4UYgaG,14CxGRFeBbmda2VgQm7MxJR9CaH8LaFoVGkbxWRG7awX,1643884305,-1.0,3
18,J8spKXcSzWYFM94ineXx5NUcUWkWU6qDhoycu7Xkj9G2,14K3vaHcU9Pqqrj4Q5YiTFiyLKf33xAcA3Hs8xfEsNpJ,1667649593,-1.0,5
19,6KeW5X32HxvGqteWYkuhxjd3dyhuv9ZTSsaLkJVi3q6Y,14n7g1XjouXbaWdFGxgMqDjNGXJZ2ixfEck1FVDqowN8,1675641323,-1.0,12
20,,14qY2gq2UUgTMBvmPBd72Z7MEasCgWrdJNTuGNNmSGsm,,0.0,0
21,,14sYtL599nxNF2cGmd3498GAuantJQJSHehxHmEQrY4C,,0.0,0
22,4w7WcsCgK24oHzrDxVw4y9gv6paQwaPzfrdshhqdayVL,14VE4Bx3LPZ7cDBNirNbvstXpQ7FnSPo7RVqYXwGtZDG,1644011410,0.65,1
23,AHkrdY9dAffAkZ1UPZ9bvTrqWNxk6vE4ZnjzvTyjK6e3,14XjxHuGqNBrbNyGc42QJWGBrPVk67rmEaQi3WY6eKXf,1653445038,3.0,2
24,65zfjLN97ocvQdEpqgwizeMEzd2MhLrxgVLh2wynJGm,14Z6yegp8tFfA6SAqX3sZ8DuBeioBNxv57KUAqmDQgpa,1642901316,-1.0,4
25,JEK5ifncpTWFxymxe3vafsrtze9h4KBn3vkHRqWGRHAQ,1BzBKBBxG5WnJyvAHMSrnqT8HxYQMQBpKe4DyW6SCT8,1645058354,0.0,2
26,7ZLvtZn9cUj5bYPQNMcepe12dLxe8RMXpq6J7Dsrin3G,1DnZE723mioyuqtpGYznETQgbe9tVhkTRui8PAHctgU,1655326053,-1.0,7
27,FhUn3tXFN5JrPvkULt2xB6KR45ar4ok86RScN18C8PeU,1EWRPh8Ji1B1aU7EfZsiKBjXJhqiBBgNxYK4bwWjQJj,1673936816,15.6,5
28,A1mfL7yz8ZJ976QD7bR9zJHzpqFYTxasGbyUsQwrooCT,1Fr1mMs4rTQtBmAAYEdPXAZK4XPT4oC8SZ9ELN2VJyx,1665650779,-1.0,4
29,EkmowEc4PgR1nEFHvjh34HmxdFWBztCKE8cdYdXcJGfY,1fRMdrV6NeZfRDc6ZJYc6PL79wNKtLHezoRtZdJhTjY,1673137527,27.5,6
30,,1PhxWiKP1zyEmEdv2H65cD5xTZzsLyuWCGwYWFY1YAk,,0.0,0
31,DRgbxXP8m8B6WWgqZHkDZHudHAxX6uoDBTnNAKjje4uJ,1rBACsC1C7b5p9dFau5dc5Tuqc4Kx9pbbLq83t6a248,1675797569,-1.0,3
32,6t5QVvcYipRwNxSr86SJiwR7KJxuRVwDdqiAphLYCMYz,1TfcEFzaNFu4WtgnceRTXdNN2YzbYg4ufupZTyHEdfU,1670428129,0.0,3
33,B63A9TNQmBxSeWyzasS9ke2n1yyhsXsfvLPGrzpb2Q3w,1V8eM4JZhPaU2iHXTbaWcTBVj1iNTBHY2XTcTnpsMBr,1676400340,10.0,9
34,CMkUEmBaqB1Pgbd1iJTUtyvPWPto5YEL4KK4Q4EtP1jb,217fmYtHNkLwGVumrHYTefi8WpPXc3R3wEfbnXihixUP,1656883233,-1.0,5
35,,21BttfM4M43HUKfuCeed66YxFgghDTr9H57TToDFVfyH,,0.0,0
36,AuYjb5dN6szdSRAtX6b9xNixwCCvBUpSg4pWMncsdCEq,21cMgNbpKyRFp362s7xhWHNLYWF1oLDVF2UQUo5V4Frz,1669669798,0.0,5
37,FvwSFZA1powfGY6qfbV1EGP3iBG6K6njECp2nqQfEvck,21CxB6PFg241DaV4GmZjivph98LnmjAxaSEH4JxUdptU,1653388254,2.4,2
38,,21EVJkjwD3B1AEPAKL5C3AREWio1dCvjzzaDaUf3ksce,,0.0,0
39,HXbm7qvz7VpSejHDnredjcWcq4YiVvY3SGu3p8bd1zLK,21oSoxKLk8eykJJ3SyKhxDkse2r4GRczPxMRyABguHnM,1675961995,-1.0,9
40,5LNos1bNeZjp4fXNv65Ukxe6ABMoFStViydEx5pTm6Uz,21PbvsDxg4MDeN8E56pqdKu6Xoyg5iwUzLsUnpuueGeP,1663627412,0.0,5
41,E4pjEi2X5Upex1Kr1DWURUniWYad4CEenX45NLAfc1Bc,21wNVaWBpoFrtzUpFqycDXZNFdQkJWgsVX1ZUxh2bdBX,1675797618,10.75,8
42,,21ZmMsnAEgLDBR76uqf7T1Wa11PFTBRvk9aM7Pf7TdHb,,0.0,0
43,,22fQwC7h3PQgzzTjacWKKdiuGJrCdX5SXPvbz9biS99B,,0.0,0
44,,22JaDGzo7DaSWaRQ6d2yUX1jtC3JABQN4N95pp2WPP5c,,0.0,0
45,DxnS5ETWvwyinefxzf8aGz6jCRE8tt54doZZZTSimZTH,22kdgWWBKT7XEhBUACKJZUfB3xoMiSufhjf6bFZGMYr5,1675677855,-1.0,7
46,qCYVMetdbaNutk45tqNfysjJ6W7DcrhNJ2hQgjHRPoL,22Tzosj1SPkDamhHz6MzQKDMn8N66idxVnQb5ht7Bevt,1667006817,-1.0,3
47,BdBwcFK1Ax1RhuhCqL5WYcBdTfMgF376iwWUEX4UYgaG,22UYAnSVSsv9ewoFzY5mbRXPg6seJFrfFpBUoxswMVw6,1645570750,-1.0,3
48,GEJH6j1DFA5u2ybFb8XBehxZ1YdUsxDuYHp2LWJSFno5,22vTBEKcmv3MwnvRbvPym4nDcnuJNj5pTMr3zgcMHXPW,1658170197,0.0,5
49,Fjwh9uo7k1frX7ePGD74fjKoqAJdfzjTLhDfaPLLhtHi,2347MawguGLTMmos9qxUyoJpUrJsgGRq56wP6mg1RWy4,1665122087,-1.0,1
50,A3ECFC6kN8Jd6pY4YVW2wbSX6E1QCi3nyF2ao1JVcAKB,23FxtSgVsX83gFfbxjGFzKUWfwQLJn9jChASttmCxYC3,1675875583,10.23,6
51,,23g8SnVzbLvht58YZh5CGR2oA8VMerMmuJmhYKs69o2o,,0.0,0
52,BUhdf6wBTfGQXSUzESziwHdYQft67L4eDxEsUJcQMeFc,23k746ZURGuny4cvJY7P1WaFepezLPPUr37ta3fmL12q,1674147299,40.0,2
53,8ZxewCpu8skRNEmV2cYwYr3kGmHKrHgUaR8UNF7QUWfZ,23m3z4idTC7KUfYpuV6zN6ZkQuJaiM8RGawq7A1SEX9Q,1662755739,0.0,4
54,,23N464RBRA8QjWYs2m4asZybagKHtbrGNU6sADjAkSTA,,0.0,0
55,22HimSPuDz4uxkBDThJX71r2hXFzU6hSSqQyZ8sj7357,23pZ8kvRU2eSFqeLabKQKKvvtvBmnaZZqUATm1zP855n,1662574693,-1.0,6
56,,23UGsEaQH4USv2Hp4DQ5pHDJqukF3LGNBoGqdqo7wanQ,,0.0,0
57,,23WpXaFjaY1BePeqK6Ej78cbEDTzZq4WyRKBpSsbd54Y,,0.0,0
58,5gR29ArH7wv1RrwQjTvXLwojzGgLP9pFNCUAh3yh7DSu,23XwzbWYPQL8czNXyYqTFAQLBti8ZhwkjM6Vv63eAT2P,1663145588,0.0,7
59,B9WbLqtgeMNwxwuxPokAQywrjbcPWXZkUHxm2F2VM6di,241e9DrRQWGLbLizXaDGAQw8NSzrf8G93xHkE88Z9QCb,1644728565,1.5,2
60,A1mfL7yz8ZJ976QD7bR9zJHzpqFYTxasGbyUsQwrooCT,244EyEwHm6S8UbDGLggNBAmYsK6j8K7pbPXmp1N1qakD,1665650752,-1.0,4
61,,248KLvyTt6C81c6aS9bVkgwSLMsKeB4jaFQqVr8meLMX,,0.0,0
62,8PrWcmy59o56B56EUpe1Sxq8qZ9XWAfPoweDJxZdUpnD,24BfRYPZ66zbAWLGDNxuGtPWvkSu6HHq56PZeGu6goSC,1664377213,0.0,2
63,DaqiMkcBMXv9Rem7Uh4CJC8EEwmcm8J6jHW2VUZnwUxF,24Cg6RknDjQEQ5Qzvrkd5GmvWvjrSnsEnjiDs2Ve5AGk,1673729719,11.9887,9
64,6v349NtxEuswVnAp6YWSoZJ7m5wTsapoViLzUx2Rzs5F,24cSH9GHv7WH5jnKQfC2QE7168J6TkfLViB8WFw4MYXe,1671552074,19.95,12
65,BdBwcFK1Ax1RhuhCqL5WYcBdTfMgF376iwWUEX4UYgaG,24j5t5EpGWrDDtfWZLYTAF2hXeGxoEWLr4HfVmb3dunc,1657738758,-1.0,2
66,F81KiZGpk1eeERHwYRRoDpppHT47p8ZaCHNd2yjpEb1W,24NjHRmnkG2SCJrF7Ri3LrCSHBadffva9MnKjFH3e6w7,1662133368,0.0,10
67,BZHd3P4bKpJ9tL1Fzunp3L4uPTB2DpWhmktC4ATSeHUg,24r7id17Cq1Q47aVFovqTd4qqiCJcFJ7qsgb5QBSv4ts,1673144433,0.0,4
68,AQLcM67QwFvFytbBwPT8G6Wv5Q5oGa6u5NHXsqhCiHmU,24uiQtwc7opHkmUXvCQYZWUJm76n5J1Q4JLCHeBfucXs,1664927174,0.0,8
69,4YPkcxp2CzHPdgDYvGnBt9XXCVhADrAVGJ14mdArznky,24y4GPcKQxVzsmRo7CAJcjdi1MYyGW29dgfS3N5HpJRn,1674092520,-1.0,10
70,8auUcq3wJ6aU3XuaL9EGu5qdHsRFBmo76LAeg3PhJy4L,24zXE4MbMKiiEwm32JrfXoQsbTrjMRAENeeEz3uVs2Fx,1655400047,-1.0,5
71,,25hGoz8QnteYsCdPEX3gkfU4L8kKiPFeGnBBwMi3ExKo,,0.0,0
72,HQ9qiAEXTYwEZ5YiG1dkBdYtrEXJWWGuJQjZf6ZK9Rsy,25hLSCXHf4Xbnwd5jnCS15onpFdwu7Ag4bxSYyaYqW6H,1672709160,0.0,10
73,5bd4DrUd2znjpKaNFcVrDjFL1Fs4pz91kEU2A2mB1Pui,25J5N7pVkqa1QJJrwGFW73tMLNFekRZSapcPhrfuAH6n,1658507521,0.0,4
74,,25qZZ8HBRuofy6WNa43rbC578a1Du7PcfAGUFYV7yuQy,,0.0,0
75,,25Rijxh3ACuoZGE5RgR6gaLtUUaoDpswauZg3nVpkjyo,,0.0,0
76,6hEGBDUR1bAY2LK2EGvihpUNMPFsA1qUQsg7fmNc8c1H,25vTyAJP1cArfWvmYXku9dJXmBGkwBfsF3hKULR6jCCg,1665274647,25.0,3
77,siLeAtxigfMGTgjozq9jNDjudPG86GfrGBiL88u3yXo,26Bkx79ksoH6hVt951aKXA5xNpCDX17vaNcHFoJrmNwh,1656960831,-1.0,1
78,Bv1C2nZ8Nvfoieks4TUXFnhpXU6nEFFUa3RLPjNJnStN,26kqxCQgb2coV9KJ4QFNnBHukM2hHTffDSiLyZffBF2y,1659496810,-1.0,1
79,2BKuMkzPv6vA85HP5PUBPaqxTXV4c8Eb1n9ZB2LAXsqG,26mjukcG14er9PfZL4LUU3xrJBhmFqd4TVqPMQHrj9mD,1645776993,-1.0,3
80,,2726bU2EwmTaaTGJgquKLJmdJvDdbtwfRe3RNuKC6aAQ,,0.0,0
81,,272cwU4VDjDLGiQSuSuVo12t7SfiH5awHoY5tXNqnKZR,,0.0,0
82,9PT2rRJvtHmCJT7yyJG2LA37Y2azCcsy7aWrT9YBSQG,276XabLhJFd4Q15ANFwuo8yVjrSGAhE3wQMFh7aGSTWW,1663257604,-1.0,8
83,,27HdxH5dYCYLWK9pNGNSmdx9R6NRBxy9S59VwYfk4m7N,,0.0,0
84,CxgKzpJ59kVPp4T3oQKsaQ5MJxD3yLG6xVrR2JpSEVzK,27j29wXFXHT1dsojewHtuPuBdXdqhC8kGudzR5Yyak66,1670121863,12.94,4
85,,27MuNRvv4pq6ehU3Cgt1eQ5ts5g87rTvZ3GNRe2b8ppa,,0.0,0
86,D5EdwWUHeVb5yteqS53DmEeV57antYgEf7DtparbJUdZ,27NJHdPhrVj1ftpBpb52byGfwxx4i8S2orwnK2SA99mi,1675770938,-1.0,3
87,CDYB5GQ8Qw5thd1eLSGPhutgDN7Hwu9Vjpb429C5S9MF,27RMRybb4djWWnagve4AUbx1Xpa1jG33iEy3dSKZn1W8,1665122699,0.0,6
88,,27SbxVRRFYMzwbpxm47DgM1nM4w6HsVeXvgc1JLLxQ4u,,0.0,0
89,,28FboiNRjsPrj26arbMZimrau9t7q9Ru4jE1WRT9KKv2,,0.0,0
90,,28hHELLvsCdhLxr9qB4cDQLVbjhcQctn3Xr1L5FNUaQp,,0.0,0
91,,28MMheoqUnTRBezGHSMrK5ASV9zEdJapk3tWFSfH1JRN,,0.0,0
92,,28N7oj8EbgRfjbLezAxGEEXFyfe7dDkZAhQixahUW3fV,,0.0,0
93,8yxzG5jmXeRZaeuKWWCjAMEv9Vg1YwhnbxB6ggGhbrFP,28PKUwZrbuS9z9J36NS8JYfcrpRRvjxmhPoSPzG5Y8bM,1642478549,-1.0,1
94,,28X3UdUvwmqCCNH9oYjWWsU2JC6cDWMgMdRe3FRpUtCK,,0.0,0
95,51pp4utCU5Af3nqQdAqN2k1XarFPm4DimYMjic47zGzH,28yeab58cQn5G5XsRVrb5VSyHV6TGTczhBMXegGjVDay,1644812786,-1.0,1
96,3GbvNQiEBhNZibUDNcNS7Yj7K45UKgoeJ8J8voo1osg2,28yHvbFcepkgSP7rsg9Wp72861fwSsPGcifcKcBkkvFE,1648663912,1.0,1
97,,29vgk5wzAxEf6hFvqGrVURF3rrShr6bq5vSMMbmnVBYM,,0.0,0
98,2cuRwBX7QTfNB5553hLT9VS25Tpa547XCWY14BShG35v,29zXSkFRWd57hL7Ti1HdDhPhGNDc612yg3BsQFtkBy1k,1661014817,0.0,3
99,5CjsNPioYc6UA32vhs9H9Sqq18fufftR9FYodBiwTH35,2A1fq5rYJnM4cqAc8dP9WUnpiL3DAuMwu4vfKwSVXGAZ,1669613456,-1.0,5
100,,2A29ngjBush2X74iyYchG4yxJyRyG8nBTxUzNdd5MqLo,,0.0,0
101,,2a2apF64b8Q8ciaHeCyE4bBAxcG24mEF92cdUhZS9NeE,,0.0,0
102,ApVdsJthCuBfx4nFieSqPdgJLpVEFmDMq3T2EwZ4aMtQ,2a2SFAAhFpoMiTztTumpMVioyZ5hwSTihvBSZRTH5JCm,1656612951,0.0,2
103,,2A7f4YwNfeNRrzHknz2cTcBFXujiDdxJfD1NUjeFAQo5,,0.0,0
104,,2A83a4jW1Ztn291YwXb6E8pGsB9rBN5TQQvPmXGxCumg,,0.0,0
105,GBs9x795L8FgTpFbCF2tZnbUovBoJGtBBgpDYW5agu37,2ABAaCbaZMMm1x4ssRdzePzRFgzVmmaPCfCUFvrNT3oE,1666665991,10.0,1
106,D3rDBCCAQ19BX4oc35KqyCQnnMrJp3UnB8N6d691zjcc,2ABPZJCqVXnii3WkAs4TtWFPBfWSwD4quWnoRQmdx2Wo,1665121777,-1.0,1
107,,2AdhzJvX9yB8G5xKxkpHrQn9J3cgrUPaiJqpKYpHjW8z,,0.0,0
108,Esckq2rQhHBKgxTdbsLd3B4G4BvC12uNubAwceTSugBo,2aFRiYX1yeFfhchxs8fQ4skHgHP1QftqiCHQWJaL9nwJ,1673508052,0.0,13
109,2cuRwBX7QTfNB5553hLT9VS25Tpa547XCWY14BShG35v,2afZgpqFPrfW9iiwT8xUyqDufgSHxHdMXrhMAEfrMqCV,1667579450,22.0,4
110,G55E69o3b8mK2pEm3Rib9dHMRBNZn7pPodsjYXHwsALc,2AgtVeV88JQfGgNnLqxxDMYEjARwxyAeVpZkU9AW4fHR,1665621930,-1.0,1
111,,2aKJF3jKRuLGhNYgiAuBu2rwdF8WGR6awNak6gw2Newt,,0.0,0
112,zzXvqKqQzTcNTov12MfgfYsk2CMGuqArfQtvgNqoeFR,2akv7PPzpTpZ2MHAcZ7qDK36hvj2qdADRbJJiUCBoae8,1657717197,-1.0,7
113,2cuRwBX7QTfNB5553hLT9VS25Tpa547XCWY14BShG35v,2AMe3YGVHUPzWVqgZH1ndAHpgyRfnsRnGXqazxQN5mdd,1669647630,-1.0,3
114,5kygrAGDmUAwzQr9YnegCwRyEgXbzxAHy5jKhLEW7Sus,2aSMKE9scmFgT9okVKbLkGng22TsA5rs1PFdMsi58rD2,1665212079,12.0,2
115,4f47D6e89uCMRPBKggvUyHycCgw1PaAyjtW47uefiEyk,2AzqCqjyMeGUXfs3ZgfTTiJkB1VxtKeWwUeCmb82eNAz,1662553213,0.0,2
116,,2B17hEyyBcjGYd7tdqbZWtwGBwTN5vSNJHkSw8pBWpKa,,0.0,0
117,C5BaFhYG6ttzAUZEKCxNQ8CevxB5i7VUGGt453hNDv54,2B37YENHrGNbbH7QsQqHv59Cwm8HGLY8KAyZ7BcCwD11,1657154108,-1.0,4
118,DwJrgXGSMgJCf6AmVk5AMngaSiT1WVsWvkeu1Cjczcdt,2B8KzaXhb6nSCtrocFpxcTvSAphMfrNAFpaLxCuoFbKL,1657014115,4.2,1
119,9JXPWXGDH5sNF7cGXFV5Uh2nmdpWc3kveLmD8q1uQmog,2B9MqxPbKkKeqiVBXMbeGP85tfPTf4G9mf2wCWus9S57,1650358715,-1.0,6
120,,2BAcXpDquViYE5rzTj1rAZGvKaPsvV4Kq7KhZz6imB8L,,0.0,0
121,A5umNTs6irJ3aT6yxaGr5DESe64xzd1gTjPybUhFqbDH,2BBrKvYWKMZRNqpjia5sRLdw8QKpYktZcj2S3e4CLri2,1641933247,-1.0,1
122,,2BcKudvFaqtsuCsRchE4w93LcgkkJNgstjK9qAzGpi5o,,0.0,0
123,BU7o27mSV9pmWYHPVdjC5KLwnnCM2Dr23J7CVBVVuaUp,2BcQibN5eZmKD4WZqk2A4Zh5hnEbr8Fe1dcJkH1xHy7Y,1659590179,-1.0,2
124,3AoY9agnBEDwcZF1uudRfQ7Hbar9cpe5NTEowchk7hpX,2BKC5QKsXz7p2yGcRYyLk8Ajf2FZ4BzPET4aMYJUUiaw,1675829325,10.2474,7
125,,2bkKrj3NjYbTYhh8qR4KXrvYinEUJFwLb7DYxCAH6PY1,,0.0,0
126,2m92PTbQAQMQtvXUuhCJpcxKEFRKCumhEyrUnLQPeBuC,2BkWcgAHHB663FXFgKaBWWuBENQvdSuKGY8hJDPir3tN,1659354128,0.0,4
127,23k2Qyicy4SFrsV8f8rthjFUfwW5FCbLQRPak59s223h,2bLwjtgKQzbjs4N6t3gPHu66kg84Kruvm2LJhJ6ZBq68,1663620043,0.0,2
128,,2bmJNkL8VgmyAWTL1rsT5JYhwMUkmnbcuUBuT2isZdnx,,0.0,0
129,FCD1MMAai5DPVogLr8CzRqzGtuaMwbEpMGzaUwnU1gL4,2BQ394KyfbNxRvdJp7rYt8KnyKzvT1PgRxdxi4iGimMx,1667440804,0.0,6
130,,2bRJgVC7oYyi2ycVTRiUs5jPG8vY9qkiV2gWRB9GoNY1,,0.0,0
131,,2bUdr5YnoTpiEMgmsVFFm3KQjD4tRzEpphtstgz6R5WK,,0.0,0
132,2TKYkCwvgewrsM5HCALsvixgXAB7EPnTcpfjGqNtaUnt,2bzLHToD3yb7uxL976eAy9dhq5uiJQBEMiUcfxaqGCjm,1668370313,0.0,2
133,,2BZu6LrksVdmBkDe6nzzptc7D75XxW6G1gzpY2P3VT6x,,0.0,0
134,9FDnVKWiBrZtDVdyckQMDk3xeqP7pwcU8DEUUTqbAPsU,2C4p3jhiLoMUkFBkpgJ5S5nXp7zeFeNWcuJNakXuLQtq,1665122087,-1.0,1
135,DGmE7T1uyQZpP2yguio6eyAnF1ToM6mgQ2ZGr5gU4WBj,2C94W8ovo9irkUCcXon9DVYz471Ze4n18iufUFpoGGYN,1674343900,19.0,3
136,GxvgVkwUSBAMoFoJNVg3gaihXWhqWVQxsfXBrsKiioov,2ca9nz8UJ297eazoHDf1SsThaSFx6JEnn4jznaGdbcHt,1665121777,-1.0,1
137,,2CCTqBmDG38CL2w4UjveohkNbj4xtTSE69qHg52ACdvk,,0.0,0
138,,2CJr6GHShD3sAVjUCHGxiDLu633na8Ze8rLQVHNQ96TY,,0.0,0
139,,2cM4pFbsoQoMrGeFYe8D2FiXDsFActzdYdvVyDHAJQTw,,0.0,0
140,EmvDK6EGxhheivmbNAZFn6ndUzR67DUttgm2CR1GnYzC,2CMqCx5RivxWeSmH7SKGruyVi6FCGLBrLsmEEmN6ATb6,1658152958,0.0,4
141,H5akqkTbPeJfhKA1eHhQpBuUPVMB7zJJUbnpuwxrihrs,2Cq86CAQ8dU4hGwd8FyK5jn3LnSKUb52Va99d9XTUhHL,1673986924,13.25,7
142,EUzxULkGVctkc3y6WweEVpp1kzz44Qe3PJSdr1i4rXxA,2cqjgfw6kvGNbzSTzYejnEoYQ11cWkrsDkbkyym9foxL,1654539369,0.0,4
143,,2CQt1qoMBZeHzBiK6BJ9aDE1wRaHJzpDwksdHjoY1ebZ,,0.0,0
144,5QKcgLJo6cq27WLTruzG26rdBbgFLjbCHJ8vwKyQc8yV,2CreWVQJa41jTwDHHKYmhucZjgFzDYTyJ1cCe4gRwDVh,1664710873,0.0,7
145,,2CrjYpGhBvSx1LKPej6LSiXZ665fy7dPNZxxogAUXXNC,,0.0,0
146,87dnrwQp6VXESTiqN11M8wzNsbrbtsyV76tib2Cjzyej,2cSiK5BTXv93oxXNTFDbQbez3FoLSLnQaBmHtNADs5CF,1665731515,-1.0,6
147,NoRiXNmPnonciw62SpRsZgCLr5y67MyHR9Brj8oxtS6,2CvduPgoXXxgFQAFwH9F156AhiPP1ABNxJbCrQ59hyZv,1673081369,16.7,7
148,,2cxMSoKtzbNZwcMnyDZJqT3rwY5X8jFh4uHpSWNFr5fY,,0.0,0
149,4tzAkc7cGTns1dsVaP18KvMkt9jEmzA1AaV3rMzgyi7f,2D8zS4BvKSZhhDmaZSmDL2STN5y5672DPQbZYmLy2pvJ,1668003959,-1.0,3
150,FyNdtuKeqGnvkyaxDyYn1VGqP4G7SPz47SMNS4TKgw9J,2dcjCSdP2uSkt5wQHFZ21PuEF4G9Qpp8XYyWm1JzgL9H,1676061484,-1.0,6
151,8PrWcmy59o56B56EUpe1Sxq8qZ9XWAfPoweDJxZdUpnD,2DeLRxxfBbqxnyNGq459ifxq1yyWfQQ9amzjzAL8SsTJ,1664377088,0.0,3
152,5QKcgLJo6cq27WLTruzG26rdBbgFLjbCHJ8vwKyQc8yV,2Dj3KaLXG29wVE1YjPUD7Ye6pCAi9GwzekiWSvqfwcBz,1669670648,0.0,6
153,2TKYkCwvgewrsM5HCALsvixgXAB7EPnTcpfjGqNtaUnt,2DkEHacygwDTseud7NdcZcSqb87xWfaA25ghYSaEUMKk,1670004968,-1.0,7
154,5uV4RAGwkozJVwKSim7jNHy52hf4R47VrbVruCJ8MGHt,2dLgeCiZ2RQYFX3WauV1Q2zAsbXTguH6bz6SMeuidor2,1643984850,-1.0,2
155,CFMLfUAFkDDQUdGg4RkVbx8q4GpwYhGvHhk3UytmxDtU,2DMhDeQ13HnVgL2AEoKtWwnovhT75iVyQzgUUj3VUzdB,1644103652,-1.0,2
156,J92hS8atKjujn3kNjRqiQvDXQ5HoNNCgadmn63J5A9Wx,2dTV8gV7w1me2Cmp6G9jVD1sy1Xjd6oChSmY7PXVFy3H,1642679287,0.39,5
157,,2duby23AcihwqrzE1ZfHT96JsvVDBipNVKcY9VVj6Rew,,0.0,0
158,3Gyk2Vwj9HmjHcmdkvdkYq6bDhoH5RjMHn42LCM9YVYH,2e2ZGWWdQjYj3tNHCHMKNhGvA3EzCuKczrMtNMGHMqYp,1649742573,-1.0,4
159,GF6NcU53SHqEx6eW48DREQaCnvs3aqyj5MZzH4btmNoZ,2E3JY6XVsn69uQ5kz4cEUcd6pis526Qn4cd27bfRCpaF,1675425190,13.8,7
160,,2e6qw9LfEDBuisatWkic3QFxt14SyQfPxzSFfSnFmUKV,,0.0,0
161,,2E8tH6rhd2TimYnSbX8y9fo7h3yacxEvMpw4KQCQitD1,,0.0,0
162,,2eaXPv4751dV98eSEPaCcKovQpBEjeAENGCGvpjsotgo,,0.0,0
163,Dy2uEzW6d85Jr7csbYZ4acKvNYXHyp5cL17EXueo7UkK,2ECtRnUmshdiFkpZ3dajhV9PhJ3zBKv1Er24PYSbbBL6,1644337673,-1.0,1
164,,2edxqqFUt6RaQZ4jeM32iBnHgE8qLdK1dqBXYowBBDyf,,0.0,0
165,,2EEY1vsz4R6XzeBk3UUxVFPtD4Qe32A3NAG7rm3o1XBG,,0.0,0
166,iLjKLYY63u1NBjxg3bvLcnyQqwUYG8XXpykNWPSGjzQ,2EgkCDKMmSc7BbCDcohoAThcZzpCsf61EVW4NFwwS9Gs,1667637911,-1.0,1
167,,2EJh5tz7bVztVePgZ7M7SffLCaZe8gfKLagMWD9fW6AL,,0.0,0
168,BNEGA8nTmetKEFGS4iMQJuAHbv6JCqofkEtrxLQ8X8yY,2eMcAKEkp3bLjdhEBm2mcrMnxxkPvifwgsEiAHjifqtZ,1675610470,0.0,2
169,BYdJtW5mZnXPJWtRUMdEcvtfsm5KSJJkkmiaKexZX9xR,2EuX4w29Prn9D8SrShdeggtLZkqn8d9DHjvoseEb4xUs,1667864020,17.4,6
170,CvFbPKun4RZqjEjoUfvnthqb7Vo3eWW7VatzkofAKoy5,2EViAaMNdgaoJBFVWvLusZQpx2sKYQNqGbcCicwhHvya,1674860372,0.0,3
